;Survived;Pclass;Name;Sex;Age;SibSp;Parch;Ticket;Fare;Embarked
262;0;1;1166.0;1.0;52.0;1;1;1.0;79.65;2.0
263;0;1;507.0;1.0;40.0;0;0;20.0;0.0;2.0
264;0;3;528.0;0.0;29.881137667304014;0;0;656.0;7.75;1.0
265;0;2;984.0;1.0;36.0;0;0;743.0;10.5;2.0
266;0;3;922.0;1.0;16.0;4;1;335.0;39.6875;2.0
267;1;3;951.0;1.0;25.0;1;0;460.0;7.775;2.0
268;1;1;466.0;0.0;58.0;0;1;805.0;153.4625;2.0
269;1;1;127.0;0.0;35.0;0;0;836.0;135.6333;2.0
270;0;1;182.0;1.0;29.881137667304014;0;0;62.0;31.0;2.0
271;1;3;1191.0;1.0;25.0;0;0;787.0;0.0;2.0
272;1;2;788.0;0.0;41.0;0;1;217.0;19.5;2.0
273;0;1;848.0;1.0;37.0;0;1;813.0;29.7;0.0
274;1;3;519.0;0.0;29.881137667304014;0;0;641.0;7.75;1.0
275;1;1;45.0;0.0;63.0;1;0;92.0;77.9583;2.0
276;0;3;707.0;0.0;45.0;0;0;450.0;7.75;2.0
277;0;2;926.0;1.0;29.881137667304014;0;0;178.0;0.0;2.0
278;0;3;994.0;1.0;7.0;4;1;659.0;29.125;1.0
279;1;3;3.0;0.0;35.0;1;1;748.0;20.25;2.0
280;0;3;351.0;1.0;65.0;0;0;399.0;7.75;1.0
281;0;3;897.0;1.0;28.0;0;0;469.0;7.8542;2.0
282;0;3;1300.0;1.0;16.0;0;0;429.0;9.5;2.0
283;1;3;339.0;1.0;19.0;0;0;719.0;8.05;2.0
284;0;1;1117.0;1.0;29.881137667304014;0;0;34.0;26.0;2.0
285;0;3;1135.0;1.0;33.0;0;0;522.0;8.6625;0.0
286;1;3;1299.0;1.0;30.0;0;0;426.0;9.5;2.0
287;0;3;838.0;1.0;22.0;0;0;489.0;7.8958;2.0
288;1;2;560.0;1.0;42.0;0;0;176.0;13.0;2.0
289;1;3;261.0;0.0;22.0;0;0;639.0;7.75;1.0
290;1;1;92.0;0.0;26.0;0;0;118.0;78.85;2.0
291;1;1;126.0;0.0;19.0;1;0;82.0;91.0792;0.0
292;0;2;702.0;1.0;36.0;0;0;867.0;12.875;0.0
293;0;3;478.0;0.0;24.0;0;0;519.0;8.85;2.0
294;0;3;802.0;1.0;24.0;0;0;516.0;7.8958;2.0
295;0;1;703.0;1.0;29.881137667304014;0;0;828.0;27.7208;0.0
296;0;3;488.0;1.0;23.5;0;0;288.0;7.2292;0.0
297;0;1;24.0;0.0;2.0;1;2;49.0;151.55;2.0
298;1;1;1043.0;1.0;29.881137667304014;0;0;126.0;30.5;2.0
299;1;1;99.0;0.0;50.0;0;1;800.0;247.5208;0.0
300;1;3;636.0;0.0;29.881137667304014;0;0;704.0;7.75;1.0
301;1;3;771.0;1.0;29.881137667304014;2;0;608.0;23.25;1.0
302;0;3;604.0;1.0;19.0;0;0;787.0;0.0;2.0
303;1;2;631.0;0.0;29.881137667304014;0;0;141.0;12.35;1.0
304;0;3;1272.0;1.0;29.881137667304014;0;0;731.0;8.05;2.0
305;1;1;23.0;1.0;0.92;1;2;49.0;151.55;2.0
306;1;1;387.0;0.0;29.881137667304014;0;0;107.0;110.8833;0.0
307;1;1;946.0;0.0;17.0;1;0;834.0;108.9;0.0
308;0;2;6.0;1.0;30.0;1;0;789.0;24.0;0.0
309;1;1;409.0;0.0;30.0;0;0;798.0;56.9292;0.0
310;1;1;515.0;0.0;24.0;0;0;75.0;83.1583;0.0
311;1;1;1036.0;0.0;18.0;2;2;824.0;262.375;0.0
312;0;2;667.0;0.0;26.0;1;1;223.0;26.0;2.0
313;0;3;526.0;1.0;28.0;0;0;526.0;7.8958;2.0
314;0;2;509.0;1.0;43.0;1;1;782.0;26.25;2.0
315;1;3;866.0;0.0;26.0;0;0;475.0;7.8542;2.0
316;1;2;621.0;0.0;24.0;1;0;199.0;26.0;2.0
317;0;2;819.0;1.0;54.0;0;0;316.0;14.0;2.0
318;1;1;1256.0;0.0;31.0;0;2;626.0;164.8667;2.0
319;1;1;1129.0;0.0;40.0;1;1;105.0;134.5;0.0
320;0;3;323.0;1.0;22.0;0;0;727.0;7.25;2.0
321;0;3;300.0;1.0;27.0;0;0;502.0;7.8958;2.0
322;1;2;1108.0;0.0;30.0;0;0;158.0;12.35;1.0
323;1;2;186.0;0.0;22.0;1;1;211.0;29.0;2.0
324;0;3;1055.0;1.0;29.881137667304014;8;2;776.0;69.55;2.0
325;1;1;1286.0;0.0;36.0;0;0;836.0;135.6333;0.0
326;0;3;876.0;1.0;61.0;0;0;413.0;6.2375;2.0
327;1;2;87.0;0.0;36.0;0;0;312.0;13.0;2.0
328;1;3;453.0;0.0;31.0;1;1;583.0;20.525;2.0
329;1;1;540.0;0.0;16.0;0;1;10.0;57.9792;0.0
330;1;3;769.0;0.0;29.881137667304014;2;0;608.0;23.25;1.0
331;0;1;929.0;1.0;45.5;0;0;28.0;28.5;2.0
332;0;1;465.0;1.0;38.0;0;1;805.0;153.4625;2.0
333;0;3;1215.0;1.0;16.0;2;0;418.0;18.0;2.0
334;1;1;414.0;0.0;29.881137667304014;1;0;827.0;133.65;2.0
335;0;3;322.0;1.0;29.881137667304014;0;0;508.0;7.8958;2.0
336;0;1;939.0;1.0;29.0;1;0;46.0;66.6;2.0
337;1;1;171.0;0.0;41.0;0;0;105.0;134.5;0.0
338;1;3;289.0;1.0;45.0;0;0;699.0;8.05;2.0
339;0;1;130.0;1.0;45.0;0;0;51.0;35.5;2.0
340;1;2;850.0;1.0;2.0;1;1;145.0;26.0;2.0
341;1;1;401.0;0.0;24.0;3;2;123.0;263.0;2.0
342;0;2;250.0;1.0;28.0;0;0;212.0;13.0;2.0
343;0;2;1076.0;1.0;25.0;0;0;198.0;13.0;2.0
344;0;2;408.0;1.0;36.0;0;0;144.0;13.0;2.0
345;1;2;159.0;0.0;24.0;0;0;209.0;13.0;2.0
346;1;2;1114.0;0.0;40.0;0;0;344.0;13.0;2.0
347;1;3;313.0;0.0;29.881137667304014;1;0;665.0;16.1;2.0
348;1;3;274.0;1.0;3.0;1;1;764.0;15.9;2.0
349;0;3;330.0;1.0;42.0;0;0;352.0;8.6625;2.0
350;0;3;889.0;1.0;23.0;0;0;690.0;9.225;2.0
351;0;1;1275.0;1.0;29.881137667304014;0;0;40.0;35.0;2.0
352;0;3;368.0;1.0;15.0;1;1;290.0;7.2292;0.0
353;0;3;51.0;1.0;25.0;1;0;520.0;17.8;2.0
354;0;3;1288.0;1.0;29.881137667304014;0;0;241.0;7.225;0.0
355;0;3;1211.0;1.0;28.0;0;0;433.0;9.5;2.0
356;1;1;147.0;0.0;22.0;0;1;38.0;55.0;2.0
357;0;2;420.0;0.0;38.0;0;0;171.0;13.0;2.0
358;1;3;777.0;0.0;29.881137667304014;0;0;381.0;7.8792;1.0
359;1;3;808.0;0.0;29.881137667304014;0;0;391.0;7.8792;1.0
360;0;3;1105.0;1.0;40.0;1;4;464.0;27.9;2.0
361;0;2;1301.0;1.0;29.0;1;0;864.0;27.7208;0.0
362;0;3;91.0;0.0;45.0;0;1;286.0;14.4542;0.0
363;0;3;56.0;1.0;35.0;0;0;879.0;7.05;2.0
364;0;3;877.0;1.0;29.881137667304014;1;0;633.0;15.5;1.0
365;0;3;10.0;1.0;30.0;0;0;773.0;7.25;2.0
366;1;1;1233.0;0.0;60.0;1;0;6.0;75.25;0.0
367;1;3;827.0;0.0;29.881137667304014;0;0;234.0;7.2292;0.0
368;1;3;591.0;0.0;29.881137667304014;0;0;102.0;7.75;1.0
369;1;1;72.0;0.0;24.0;0;0;795.0;69.3;0.0
370;1;1;494.0;1.0;25.0;1;0;74.0;55.4417;0.0
371;0;3;1263.0;1.0;18.0;1;0;330.0;6.4958;2.0
372;0;3;105.0;1.0;19.0;0;0;369.0;8.05;2.0
373;0;1;1004.0;1.0;22.0;0;0;836.0;135.6333;0.0
374;0;3;916.0;0.0;3.0;3;1;541.0;21.075;2.0
375;1;1;794.0;0.0;29.881137667304014;1;0;820.0;82.1708;0.0
376;1;3;674.0;0.0;22.0;0;0;774.0;7.25;2.0
377;0;1;1261.0;1.0;27.0;0;2;37.0;211.5;0.0
378;0;3;119.0;1.0;20.0;0;0;242.0;4.0125;0.0
379;0;3;477.0;1.0;19.0;0;0;446.0;7.775;2.0
380;1;1;120.0;0.0;42.0;0;0;833.0;227.525;0.0
381;1;3;840.0;0.0;1.0;0;2;247.0;15.7417;0.0
382;0;3;1184.0;1.0;32.0;0;0;915.0;7.925;2.0
383;1;1;555.0;0.0;35.0;1;0;55.0;52.0;2.0
384;0;3;969.0;1.0;29.881137667304014;0;0;510.0;7.8958;2.0
385;0;2;306.0;1.0;18.0;0;0;847.0;73.5;2.0
386;0;3;456.0;1.0;1.0;5;2;777.0;46.9;2.0
387;1;2;173.0;0.0;36.0;0;0;298.0;13.0;2.0
388;0;3;1044.0;1.0;29.881137667304014;0;0;615.0;7.7292;1.0
389;1;2;692.0;0.0;17.0;0;0;869.0;12.0;0.0
390;1;1;209.0;1.0;36.0;1;2;43.0;120.0;2.0
391;1;3;582.0;1.0;21.0;0;0;549.0;7.7958;2.0
392;0;3;476.0;1.0;28.0;2;0;332.0;7.925;2.0
